code;name;baz_dot;rev_dot;osv_subv;med_subv;
08309200000;Куйбишевський р-н;487.00;;9686.00;7817.80;
25310200000;Куликівський р-н;3960.60;;17474.90;11140.90;
20319200000;Куп'янський р-н;7022.00;;29884.30;15461.40;
19310200000;Лановецький р-н;8509.00;;38950.00;18004.40;
18308200000;Лебединський р-н;1903.10;;21712.30;12690.70;
22310200000;Летичiвський р-н;;;23.30;;
02310200000;Липовецький р-н;7996.50;;43586.30;23692.60;
18309200000;Липоводолинський р-н;1541.30;;20582.60;11672.00;
23310200000;Лисянський р-н;2431.10;;29335.60;14644.30;
02311200000;Літинський р-н;9192.80;;50816.30;22253.60;
20320200000;Лозівський р-н;2114.20;;32545.40;17916.70;
03307200000;Локачинський р-н;6233.80;;35696.80;13373.40;
16311200000;Лохвицький р-н;;;45858.60;26651.70;
16312200000;Лубенський р-н;5841.10;;37970.90;20089.10;
06311200000;Лугинський р-н;4868.10;;21425.90;10249.50;
03308200000;Луцький р-н;;2427.50;85353.30;35380.90;
06312200000;Любарський р-н;4008.30;;42138.20;16469.00;
15316200000;Любашівський р-н;7907.10;;39082.60;18454.70;
03309200000;Любешівський р-н;14113.90;;66818.20;20910.40;
03310200000;Любомльський р-н;11766.20;;67105.20;23307.30;
05309200000;Маp'їнський р-н;8655.40;;76554.70;50152.90;
04307200000;Магдалинiвський р-н;;;47541.70;20513.70;
10314200000;Макарiвський р-н;;1448.00;55135.70;22729.90;
06313200000;Малинський р-н;2053.60;;26458.50;11681.70;
11310200000;Маловисківський р-н;;;31530.00;18275.10;
03311200000;Маневицький р-н;17740.50;;92265.20;31865.70;
23311200000;Манькiвський р-н;2464.60;;34089.40;17186.80;
12307200000;Марківський р-н;1561.70;;22624.90;9261.40;
16313200000;Машівський р-н;;6091.70;23834.10;11964.10;
04308200000;Межiвський р-н;1971.20;;28299.30;14773.90;
08310200000;Мелітопольський р-н;13467.90;;61992.40;29751.60;
25311200000;Менський р-н;8882.80;;38872.20;23009.40;
13309200000;Миколаївський р-н (Львівська обл.);14717.80;;66791.40;32635.90;
14314200000;Миколаївський р-н (Миколаївська обл.);1382.50;;41260.10;18444.30;
15317200000;Миколаївський р-н (Одеська обл.);3494.20;;26308.90;9694.10;
16314200000;Миргородський р-н;731.50;;34818.50;20162.80;
10315200000;Миронiвський р-н;;8433.00;43291.30;21242.50;
08311200000;Михайлівський р-н;6351.80;;26695.10;17745.10;
07306200000;Міжгірський р-н;16123.90;;88518.30;34192.10;
12308200000;Міловський р-н;3924.40;;17124.10;9390.60;
17311200000;Млинiвський р-н;9285.10;;59506.40;21223.60;
02312200000;Могилів-Подільський р-н;12487.00;;34272.40;20845.00;
23312200000;Монастирищенський р-н;6594.30;;44011.90;22170.90;
19311200000;Монастириський р-н;8612.40;;30142.00;14689.90;
13310200000;Мостиський р-н;16994.20;;74459.90;33786.60;
07307200000;Мукачівський р-н;40325.50;;134831.90;58963.40;
02313200000;Мурованокуриловецький р-н;6114.00;;29453.00;16278.10;
04309200000;Нiкопольський р-н;6277.30;;43647.40;24921.90;
09309200000;Надвірнянський р-н;27072.50;;157178.90;79576.70;
18310200000;Недригайлівський р-н;3006.10;;20958.50;15424.10;
02314200000;Немирівський р-н;6110.60;;53293.90;30751.60;
21313200000;Нижньосірогозький р-н;3232.40;;18868.70;9654.70;
25312200000;Ніжинський р-н;7443.20;;22827.50;15564.40;
11311200000;Новгородківський р-н;;;19348.70;9524.80;
25313200000;Новгород-Сіверський р-н;4393.30;;16838.40;8698.70;
12309200000;Новоайдарський р-н;804.10;;34584.90;26348.30;
11312200000;Новоархангельський р-н;2286.70;;32835.50;15312.00;
14315200000;Новобузький р-н;6766.60;;35103.40;18500.50;
20321200000;Нововодолазький р-н;4053.20;;38363.50;20282.40;
21314200000;Нововоронцовський р-н;6151.30;;24146.90;12886.20;
06315200000;Новоград-Волинський р-н;8572.00;;70624.40;27670.30;
08312200000;Новомиколаївський р-н;364.70;;15708.10;9879.30;
11313200000;Новомиргородський р-н;;;30452.00;17567.20;
04310200000;Новомосковський р-н;;4656.80;78567.80;44111.70;
14316200000;Новоодеський р-н;6145.60;;41331.50;20210.00;
12310200000;Новопсковський р-н;5550.70;;45315.60;13623.90;
16315200000;Новосанжарський р-н;;977.50;41393.90;21364.60;
24307200000;Новоселицький р-н;26213.10;;77254.30;39618.30;
21315200000;Новотроїцький р-н;5727.20;;41899.60;21636.70;
11314200000;Новоукраїнський р-н;3023.00;;49134.30;25630.90;
22311200000;Новоушицький  р-н;1066.00;;3185.60;1694.30;
25314200000;Носівський р-н;3447.20;;33106.50;17474.00;
10316200000;Обухiвський р-н;;6106.10;47632.80;22107.60;
15318200000;Овідіопольський р-н;;;79331.00;45252.30;
06316200000;Овруцький р-н;10200.10;;72246.20;35163.50;
06317200000;Олевський р-н;13186.90;;58485.10;24494.20;
05311200000;Олександрівський р-н (Донецька обл.);3893.50;;24128.50;11454.30;
11315200000;Олександрівський р-н (Кіровоградська обл.);49.90;;34573.90;17400.80;
11316200000;Олександрійський р-н;841.30;;44354.80;22011.70;
11317200000;Онуфріївський р-н;3835.10;;19615.90;11293.30;
02315200000;Оратівський р-н;3678.90;;29196.60;13538.10;
16317200000;Оржицький р-н;;;31386.10;14907.90;
08313200000;Оріхівський р-н;8760.80;;39549.00;24820.40;
17312200000;Острозький р-н;11424.30;;51640.10;17251.00;
18311200000;Охтирський р-н;786.50;;30508.80;16561.10;
14317200000;Очаківський р-н;2972.10;;16332.20;7301.40;
04311200000;Павлоградський р-н;;3672.20;15620.30;8191.60;
05312200000;Пеpшотравневий р-н;1116.30;;25210.10;16626.00;
14318200000;Первомайський р-н (Миколаївська обл.);3657.70;;36719.00;18548.10;
20322200000;Первомайський р-н (Харківська обл.);;;15844.10;10064.90;
13311200000;Перемишлянський р-н;9514.70;;51429.70;23814.20;
07308200000;Перечинський р-н;7986.60;;43292.80;18675.80;
10317200000;Переяслав-Хмельницький р-н;;56.20;37670.50;17508.20;
04312200000;Петрикiвський р-н;;;22776.00;15711.10;
11318200000;Петрівський р-н;;;27683.80;14794.00;
04313200000;Петропавлiвський р-н;;1103.00;32391.20;16656.90;
20323200000;Печенізький р-н;1361.50;;8082.00;6344.00;
16318200000;Пирятинський р-н;1786.40;;16037.40;8884.90;
19312200000;Підволочиський р-н;268.30;;1352.90;597.50;
19313200000;Підгаєцький р-н;6793.20;;25237.20;11511.20;
02316200000;Піщанський р-н;2448.40;;20056.00;10770.70;
02317200000;Погребищенський р-н;6049.80;;34617.00;19072.90;
04314200000;Покровський р-н;5438.40;;37672.30;21421.30;
10318200000;Полiський р-н;1138.10;;12271.20;3465.80;
08314200000;Пологівський р-н;;1596.70;37637.60;21181.00;
22312200000;Полонський р-н;994.90;;5623.70;2138.70;
16319200000;Полтавський р-н;8257.40;;56463.30;40264.40;
12312200000;Попаснянський р-н;3203.70;;50467.80;48889.60;
06318200000;Попільнянський р-н;914.00;;46701.50;19779.80;
08315200000;Приазовський р-н;5641.00;;38153.10;16930.40;
25315200000;Прилуцький р-н;4341.50;;34887.90;22775.40;
08316200000;Приморський р-н;3945.30;;34939.10;18567.30;
13312200000;Пустомитівський р-н;22504.40;;124401.60;68461.40;
18312200000;Путивльський р-н;7005.10;;20709.70;17067.10;
24308200000;Путильський р-н;7114.20;;50369.60;16404.50;
04315200000;П'ятихатський р-н;3663.70;;51392.90;27321.50;
13313200000;Радехівський р-н;6312.20;;61121.90;28572.00;
17313200000;Радивилiвський р-н;7758.70;;49352.50;22285.40;
06319200000;Радомишльський р-н;3095.70;;33807.40;19153.80;
03312200000;Ратнівський р-н;20086.80;;85639.00;30260.20;
07309200000;Рахівський р-н;33461.60;;148195.30;61975.50;
15319200000;Ренійський р-н;7572.90;;39673.00;22177.70;
16320200000;Решетилівський р-н;;;32476.70;15975.80;
17314200000;Рiвненський р-н;12909.30;;117085.10;53145.40;
25316200000;Ріпкинський р-н;5122.10;;24107.50;17833.00;
09310200000;Рогатинський р-н;12652.40;;49152.70;25697.60;
03313200000;Рожищенський р-н;13440.80;;60459.80;23302.40;
09311200000;Рожнятівський р-н;25555.40;;104449.90;50385.50;
15320200000;Роздільнянський р-н;14593.10;;67637.70;34232.20;
08317200000;Розівський р-н;467.70;;10821.50;5597.50;
17315200000;Рокитнiвський р-н;19076.90;;111824.00;31728.50;
10319200000;Рокитнянський р-н;;;35585.70;17202.50;
06306200000;Романівський р-н;6597.30;;36782.40;17353.40;
18313200000;Роменський р-н;4712.00;;42916.60;20965.00;
06320200000;Ружинський р-н;3798.10;;37402.60;17143.50;
15321200000;Савранський р-н;5212.10;;24547.80;11470.00;
13314200000;Самбірський р-н;14558.80;;49851.40;19678.40;
15322200000;Саратський р-н;10920.80;;67925.50;26742.50;
17316200000;Сарненський р-н;27601.00;;155278.50;52612.10;
20324200000;Сахновщинський р-н;2404.00;;28443.40;13089.30;
07310200000;Свалявський р-н;11034.30;;66126.10;31897.10;
12313200000;Сватівський р-н;1867.70;;38243.40;22277.00;
11319200000;Світловодський р-н;1608.40;;17979.50;7802.70;
16321200000;Семенівський р-н (Полтавська обл.);1255.90;;22059.20;11270.10;
25317200000;Семенівський р-н (Чернігівська обл.);3056.00;;20313.40;11227.10;
18314200000;Середино-Будський р-н;3796.60;;15903.40;10093.50;
04316200000;Синельникiвський р-н;6739.80;;48528.30;23209.00;
21316200000;Скадовський р-н;13785.80;;48726.70;28710.90;
10320200000;Сквирський р-н;;;43802.70;23187.30;
13315200000;Сколівський р-н;12009.70;;77907.90;33675.40;
22313200000;Славутський р-н;1133.00;;22119.80;8918.00;
05313200000;Слов'янський р-н;6536.40;;24079.70;14544.50;
23313200000;Смiлянський р-н;8543.80;;34752.70;20202.20;
14319200000;Снігурівський р-н;7605.20;;54807.70;24408.80;
09312200000;Снятинський р-н;24825.00;;93150.60;38917.10;
13316200000;Сокальський р-н;1411.50;;100474.60;55110.60;
24309200000;Сокирянський р-н;10406.70;;33159.30;16611.90;
04317200000;Солонянський р-н;4112.50;;23713.40;9733.90;
25318200000;Сосницький р-н;4600.10;;19147.60;11920.60;
04318200000;Софiївський р-н;1540.10;;24678.30;11686.30;
25319200000;Срібнянський р-н;1295.10;;11748.40;7076.20;
10321200000;Ставищенський р-н;589.10;;34254.30;13976.60;
12315200000;Станично-Луганський р-н;15011.80;;44509.30;30654.90;
12316200000;Старобільський р-н;4643.70;;55406.60;27451.20;
03314200000;Старовижівський р-н;12370.40;;52387.50;18060.70;
22314200000;Старокостянтинiвський р-н;5533.70;;47434.20;18340.40;
13317200000;Старосамбірський р-н;26107.30;;113529.40;46759.60;
24310200000;Сторожинецький р-н;34144.70;;134421.40;49726.10;
13318200000;Стрийський р-н;;1792.00;69309.60;34521.70;
18315200000;Сумський р-н;12003.30;;57452.70;37607.10;
25320200000;Талалаївський р-н;567.70;;15374.20;8279.20;
23314200000;Тальнiвський р-н;777.70;;38585.40;21375.70;
10322200000;Таращанський р-н;4018.00;;37568.40;17678.50;
15323200000;Тарутинський р-н;12281.10;;54624.80;24447.10;
15324200000;Татарбунарський р-н;10681.20;;42667.80;21342.50;
22316200000;Теофiпольський р-н;4251.50;;41549.10;16584.70;
02318200000;Теплицький р-н;4784.00;;34871.90;17792.50;
19314200000;Теребовлянський р-н;5685.60;;18471.20;9047.20;
19315200000;Тернопільський р-н;11900.60;;40383.50;29554.10;
10323200000;Тетiївський р-н;3826.60;;44151.50;19449.50;
02319200000;Тиврівський р-н;7450.40;;65024.00;26022.60;
09313200000;Тисменицький р-н;25554.70;;89644.20;48959.90;
09314200000;Тлумацький р-н;18519.90;;56323.50;28963.60;
08318200000;Токмацький р-н;1122.60;;25175.80;13932.30;
04319200000;Томакiвський р-н;3524.50;;28745.50;15532.40;
02320200000;Томашпільський р-н;4237.00;;41061.70;20743.10;
12317200000;Троїцький р-н;319.60;;29799.50;12458.30;
02321200000;Тростянецький р-н (Вінницька обл.);3840.80;;42836.10;22261.60;
18316200000;Тростянецький р-н (Сумська обл.);;;31924.90;21924.80;
02322200000;Тульчинський р-н;9341.20;;57712.80;34546.30;
03315200000;Турійський р-н;8464.00;;39113.00;15761.70;
13319200000;Турківський р-н;18644.00;;88104.40;37205.20;
07311200000;Тячівський р-н;63615.10;;210500.70;85745.90;
